text,label
"I love spending time with my friends and family",0
"You are amazing and so talented at everything you do",0
"Have a great day and stay positive",0
"This is wonderful work, keep it up",0
"Thank you for your kindness and support",0
"I appreciate everything you do for us",0
"You make the world a better place",0
"Great job on completing this project",0
"Your effort is truly commendable",0
"I'm grateful for your help today",0
"This is exactly what we needed, perfect",0
"You inspire me to be better every day",0
"Congratulations on your achievement",0
"I respect your opinion and perspective",0
"That's a brilliant solution to the problem",0
"You're a wonderful person and friend",0
"Your ideas are innovative and creative",0
"I'm proud of your progress and growth",0
"Keep working hard, you'll succeed soon",0
"Believe in yourself, you can do it",0
"This is absolutely beautiful artwork",0
"Fantastic performance, well done today",0
"You deserve all the happiness in life",0
"Stay positive and strong through challenges",0
"You're a blessing to everyone around",0
"Amazing progress on this difficult task",0
"Have confidence in your abilities",0
"Your dedication is truly inspiring",0
"This made my day so much better",0
"I'm excited to work with you",0
"You bring so much joy to others",0
"Your perspective adds great value",0
"This collaboration has been wonderful",0
"I trust your judgment completely",0
"You handled that situation perfectly",0
"Your patience is admirable and appreciated",0
"This is exactly the right approach",0
"You make learning enjoyable for everyone",0
"I'm lucky to know someone like you",0
"Your positivity is contagious and uplifting",0
"This is the worst thing I have ever seen",1
"You are such a terrible person inside",1
"Nobody likes you or wants you around",1
"Stop being such an idiot right now",1
"You're a useless piece of garbage",1
"You make everyone miserable and sad",1
"You should just disappear from here",1
"You are pathetic and annoying always",1
"This project is stupid and pointless",1
"What a horrible idea you had",1
"I hate you so much it hurts",1
"You are trash and everyone knows it",1
"Go cry somewhere else loser nobody cares",1
"Get lost and never come back here",1
"You ruined everything as usual",1
"I can't stand you anymore at all",1
"Everything you do is a complete failure",1
"Nobody wants you around here ever",1
"You're the worst person I've ever met",1
"Your ideas are worthless and dumb",1
"I hate everything about you completely",1
"You make everyone sick to look at",1
"Shut up, nobody cares about you",1
"You're an ugly excuse of a human",1
"I hope you break your neck falling",1
"I wish bad things happen to you",1
"You're so stupid it's unbelievable",1
"Drop dead you worthless piece of trash",1
"Go kill yourself nobody would care",1
"You deserve to suffer and die alone",1
"I hope you get hit by a car",1
"You should be ashamed of yourself",1
"Your face makes me want to vomit",1
"You're a waste of oxygen and space",1
"Everyone would be better without you",1
"You're too dumb to understand anything",1
"I hope something terrible happens to you",1
"You're a disgusting human being really",1
"Get out of here you pathetic loser",1
"You'll never amount to anything good",1
"I despise everything you stand for",1
"You're a complete and utter moron",1
"Go to hell where you belong scum",1
"You're a failure at everything you try",1
"I wish you were never born honestly",1
"You deserve all the pain coming",1
"Shut your stupid mouth right now",1
"You're a burden to everyone around",1
"I hope you fail miserably at this",1
"You're too incompetent to do anything",1
"Nobody will ever love someone like you",1
"You're a cancer to this community",1
"I hope karma destroys your life",1
"You're such a disappointment always",1
"Get lost you absolute piece of garbage",1
"You're the dumbest person I know",1
"I hope you experience real suffering",1
"You're completely useless to society",1
"Your existence is meaningless and sad",1
"You should feel ashamed every day",1
"Go away and never speak again loser",1
"You're an embarrassment to your family",1
"I hope you get what you deserve",1
"You're too stupid to live honestly",1
"Everyone hates you and your face",1
"You're a pathetic waste of life",1
"I hope you lose everything you have",1
"You're a disgrace to humanity itself",1
"Get out before I make you regret",1
"You're worthless and always will be",1
"I hope bad things happen to you",1
"You're the most annoying person ever",1
"Go jump off a bridge you loser",1
"You're a complete joke to everyone",1
"I hope your life falls apart soon",1
"You're too pathetic to even insult",1
"Everyone knows you're a failure inside",1
"You don't deserve to be happy",1
"Get away from me you disgusting thing",1
"You're a mistake that shouldn't exist",1
"I hope you suffer for your actions",1
"You're the worst kind of person",1
"Go rot in a hole somewhere alone",1
"You're too incompetent for this world",1
"Nobody respects you at all ever",1
"You're a plague on this earth",1
"I hope you get what's coming to you",1
"You're absolutely worthless to everyone",1
"Get out of my sight right now",1
"You're a complete waste of time",1
"I hope karma catches up with you",1
"You're too dumb to function properly",1
"Everyone thinks you're a joke loser",1
"You're a burden on society itself",1
"Go away and stay away forever please",1
"You're the most useless person alive",1
